model.name,product,firm,market,id,price,mpd,air,mpg,space,hpwt,trend,share,outshr,y,year,constant,ln_hpwt,ln_mpg,ln_space
AD100L,4,7,1,1475,8.876123689820334,1.9827197802197805,0,1.782,1.2627,0.4879083580823079,0,2.810156578079069e-4,0.8801062901193832,-0.4989999741705038,1971,1,-0.7176276815788356,0.5777363290486176,0.23325228546249754
ADSUPE,15,7,1,1474,7.641555788585767,2.2019093406593404,0,1.9789999999999999,1.1136,0.4657661853749418,0,3.76447297378367e-5,0.8801062901193832,-2.5092173996431857,1971,1,-0.7640715188966439,0.6825916666204286,0.10759801059801807
AMAMBS,18,15,1,136,8.927975541672186,1.504285714285714,0,1.3519999999999999,1.6458,0.45248868778280543,0,4.42423060771492e-4,0.8801062901193832,-0.0451437883207495,1971,1,-0.7929925155296614,0.30158497762077224,0.49822658818947546
AMGREM,23,15,1,129,4.935382949079593,1.8881456043956044,0,1.6969999999999998,1.1502000000000001,0.5289968652037618,0,0.0010512928190053391,0.8801062901193832,0.8203655782846635,1971,1,-0.6367727730322054,0.5288619862520891,0.13993584029751685
AMHORN,24,15,1,130,5.51562986265984,1.935989010989011,0,1.7399999999999998,1.278,0.4943244232881729,0,6.700761893334934e-4,0.8801062901193832,0.36998105765485345,1971,1,-0.7045632500412298,0.5538851132264375,0.24529635595534308
AMJAVL,25,15,1,132,7.108222455252433,1.7167994505494506,0,1.543,1.4592,0.4676134395566332,0,3.405273261743356e-4,0.8801062901193832,-0.30691498823696417,1971,1,-0.76011330823046,0.4337285733810237,0.37788834033792995
AMMATA,26,15,1,134,6.839086652783297,1.687870879120879,0,1.517,1.6068,0.4265402843601896,0,5.222418861359409e-4,0.8801062901193832,0.12072050026771652,1971,1,-0.8520484631458014,0.41673470036639515,0.47424462350299007
BKCNTU,40,19,1,143,11.268716282412926,2.194120879120879,0,1.972,1.768,0.7313675412119804,0,4.873417721518987e-4,0.8801062901193832,0.051555304120679324,1971,1,-0.3128391532344319,0.6790482561804436,0.5698489642154517
BKELCT,41,19,1,144,12.135382949079593,2.0561538461538467,0,1.848,1.816,0.7190139237616981,0,0.002415126882236487,0.8801062901193832,1.652096740246721,1971,1,-0.32987455599421983,0.6141039732194925,0.5966362801791015
BKLSAB,45,19,1,141,9.85637060340058,1.7279258241758242,0,1.553,1.768,0.5640019617459539,0,0.0026505939168516407,0.8801062901193832,1.7451286497477119,1971,1,-0.5726975492171595,0.44018854416654996,0.5698489642154517
BKRIVE,50,19,1,145,12.96995085031416,1.978269230769231,0,1.778,1.7440000000000002,0.7283236994219653,0,5.51397804307397e-4,0.8801062901193832,0.17504615286130676,1971,1,-0.317009687546301,0.5754891370917129,0.556181325486788
BKSKYL,53,19,1,138,7.152666899696878,1.7268131868131869,0,1.552,1.6224,0.4508706467661691,0,0.0027560591517187595,0.8801062901193832,1.7841467311028438,1971,1,-0.796574794884237,0.43954442176102704,0.48390653441472703
CDCALA,86,19,1,146,14.99958047994379,1.9181868131868132,0,1.7239999999999998,1.8079999999999998,0.7324840764331211,0,1.2719719239306498e-4,0.8801062901193832,-1.2916717854073152,1971,1,-0.3113136769850579,0.5446471722415012,0.5922212619699847
CDDEVI,89,19,1,147,16.044024924388236,1.9126236263736267,0,1.719,1.8079999999999998,0.7293868921775898,0,0.0027046013558101865,0.8801062901193832,1.765299443648817,1971,1,-0.3155509714605733,0.5417427264007123,0.5922212619699847
CDELDR,91,19,1,148,18.22921010957342,2.018324175824176,0,1.814,1.7760000000000002,0.7807486631016043,0,5.341202231687564e-4,0.8801062901193832,0.14321058695262767,1971,1,-0.24750199514625018,0.5955343516929449,0.5743636445699785
CDFLTW,92,19,1,149,19.16748171451169,1.8925961538461542,0,1.701,1.832,0.7165109034267912,0,3.328633991241226e-4,0.8801062901193832,-0.32967817070850636,1971,1,-0.33336181420682054,0.5312163134137248,0.6054082662519386
CPSC20,100,25,1,1478,6.036617516980828,2.3320879120879123,0,2.096,1.092,0.3738783649052842,0,6.365258863759073e-4,0.8801062901193832,0.3186147233580279,1971,1,-0.9838247619915246,0.7400307664587957,0.08801087732271337
CR300 ,103,16,1,171,11.57241998611663,1.6578296703296704,0,1.49,1.8,0.7752834991900024,0,1.1968324434579158e-4,0.8801062901193832,-1.352561741325161,1971,1,-0.25452651111282093,0.3987761199573678,0.5877866649021191
CRNEWP,121,16,1,170,10.345259492289468,1.5287637362637367,0,1.374,1.8,0.6593143131143611,0,0.0010378097066410703,0.8801062901193832,0.8074573562958376,1971,1,-0.4165549035363283,0.31772619380015765,0.5877866649021191
CRNEWY,122,16,1,172,12.123037270067249,1.893708791208791,0,1.702,1.8,0.7727797001153403,0,3.386675865378847e-4,0.8801062901193832,-0.31239130806637405,1971,1,-0.2577612643955301,0.5318040301511824,0.5877866649021191
CVBELA,128,19,1,163,7.982296529326507,1.4175000000000002,0,1.274,1.736,0.3885316184351554,0,7.316875637410762e-4,0.8801062901193832,0.4579432336668763,1971,1,-0.9453807265526144,0.24216155714997162,0.5515836162381584
CVBISC,129,19,1,161,7.644024924388235,1.4175000000000002,0,1.274,1.736,0.3885316184351554,0,3.8030175775391446e-4,0.8801062901193832,-0.19644532674540827,1971,1,-0.9453807265526144,0.24216155714997162,0.5515836162381584
CVCAMA,130,19,1,158,7.211926158956137,1.6199999999999999,0,1.456,1.41,0.46864899806076277,0,0.0018117913492111104,0.8801062901193832,1.3646609668425524,1971,1,-0.7579011957183913,0.3756929497744942,0.34358970439007686
CVCAPR,131,19,1,167,10.206987887351199,1.4631181318681319,0,1.315,1.736,0.6311881188118812,0,0.0020887875697402363,0.8801062901193832,1.506928702769538,1971,1,-0.4601513328027239,0.27383666562972786,0.5515836162381584
CVCHEV,135,19,1,153,6.609457023153667,1.6823076923076923,0,1.512,1.5352000000000001,0.4517133956386293,0,0.00502996580478733,0.8801062901193832,2.385758101129486,1971,1,-0.7947073807094415,0.4134332777573413,0.4286606657113532
CVCORV,139,19,1,169,13.661308875005519,1.8725686813186813,0,1.6829999999999998,1.2627,0.8432229856339788,0,3.5799988001679767e-4,0.8801062901193832,-0.25687771243613966,1971,1,-0.17052384156423953,0.5205779152086688,0.23325228546249754
CVIMPA,140,19,1,165,8.37241998611663,1.4063736263736264,0,1.264,1.736,0.38563829787234044,0,0.008658482812406262,0.8801062901193832,2.9288844276476365,1971,1,-0.9528554009693201,0.2342812957246657,0.5515836162381584
